time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-16T22:56:01.640Z,32.3516,105.5261,13.99,4.9,mb,,22,12.63,0.77,us,us20009wtv,2017-10-11T01:03:49.040Z,"6km N of Xiasi, China",earthquake,8.6,3.9,0.04,198,reviewed,us,us
2017-06-09T13:17:45.460Z,28.0901,104.9566,30.39,4.6,mb,,87,4.526,0.93,us,us20009mr9,2017-08-16T02:42:21.040Z,"26km N of Zhaxi, China",earthquake,12.7,6.5,0.182,9,reviewed,us,us
2017-05-18T23:07:04.660Z,30.3205,96.8954,28.76,4.5,mb,,48,5.04,0.71,us,us10008tg3,2017-08-05T03:32:11.040Z,"29km N of Baima, China",earthquake,8.7,5.4,0.059,83,reviewed,us,us
2017-05-15T16:20:00.430Z,33.0191,99.0333,16.74,4.5,mb,,51,9.326,0.89,us,us10008ska,2017-08-05T03:32:08.040Z,"87km E of Qumong, China",earthquake,9,4.3,0.081,45,reviewed,us,us
2017-05-04T05:40:22.770Z,28.1573,104.9116,10,4.9,mb,,32,4.527,0.5,us,us10008p5s,2017-07-29T03:16:20.040Z,"34km N of Zhaxi, China",earthquake,6.8,1.9,0.055,104,reviewed,us,us
2017-04-22T21:26:57.730Z,31.4786,104.1057,10,4.8,mb,,44,11.282,0.47,us,us10008ju1,2017-07-11T01:48:41.040Z,"17km NNW of Jiannan, China",earthquake,8.2,1.9,0.064,75,reviewed,us,us
2017-04-10T18:25:09.740Z,32.4156,104.7126,30.36,4.5,mb,,79,4.613,0.94,us,us10008ilw,2017-07-05T18:09:55.040Z,"17km E of Long'an, China",earthquake,10.1,5.5,0.064,72,reviewed,us,us
2017-03-26T23:55:06.280Z,25.9382,99.8406,27.61,5,mb,,24,4.637,0.8,us,us20008uw7,2017-06-16T23:07:58.040Z,"23km SW of Yuhu, China",earthquake,6.8,4.5,0.044,163,reviewed,us,us
2017-03-26T23:40:31.620Z,25.8832,99.8842,10,4.6,mb,,70,4.584,0.78,us,us20008uw4,2017-06-16T23:07:58.040Z,"25km NNW of Shangjie, China",earthquake,3.9,1.9,0.069,64,reviewed,us,us
2017-03-12T12:21:23.710Z,27.204,103.5744,37.34,4.8,mb,,75,6.031,0.59,us,us100088iq,2017-06-07T00:33:36.040Z,"4km ENE of Wenping, China",earthquake,4.7,7.7,0.06,86,reviewed,us,us
2017-02-25T19:24:52.160Z,31.0068,103.652,10,4.5,mb,,43,5.087,0.54,us,us20008mfi,2017-05-17T01:19:40.040Z,"2km E of Guankou, China",earthquake,8.5,1.9,0.085,40,reviewed,us,us
2017-02-08T11:11:42.050Z,27.303,103.4248,10,4.9,mb,,42,6.094,0.95,us,us20008ig7,2017-05-09T01:24:31.040Z,"15km NW of Wenping, China",earthquake,2.2,1.9,0.056,100,reviewed,us,us
2017-02-02T00:34:33.470Z,28.1777,104.7993,33.37,4.6,mb,,84,4.605,0.45,us,us20008fsq,2017-04-27T01:38:41.040Z,"28km E of Junlian, China",earthquake,9.2,5.5,0.075,53,reviewed,us,us
2017-01-27T18:46:36.360Z,28.1832,104.8275,32.24,5.3,mb,,14,4.58,0.62,us,us10007vts,2017-04-19T18:31:02.040Z,"31km E of Junlian, China",earthquake,6.4,3.8,0.037,245,reviewed,us,us
2017-01-18T14:35:19.790Z,28.1707,104.8738,44.71,4.9,mb,,32,4.55,0.57,us,us10007ty6,2017-04-12T02:29:00.040Z,"35km SSE of Xunchang, China",earthquake,8.4,6.9,0.071,62,reviewed,us,us
2017-01-15T10:05:39.570Z,28.0958,104.765,31.99,4.5,mb,,61,4.67,0.85,us,us10007tdf,2017-04-12T02:28:57.040Z,"26km ESE of Junlian, China",earthquake,9.8,5.8,0.111,24,reviewed,us,us
2017-01-04T15:14:32.360Z,29.7448,102.2706,10,4.7,mb,,84,6.287,0.6,us,us10007px0,2017-03-27T23:53:22.040Z,"45km SE of Kangding, China",earthquake,6.5,1.8,0.064,75,reviewed,us,us
2016-12-27T00:17:33.660Z,29.4732,105.7319,10,4.9,mb,,72,3.364,0.73,us,us10007myh,2017-03-23T22:52:04.040Z,"20km NW of Yongchuan, China",earthquake,8.3,1.8,0.053,111,reviewed,us,us
2016-12-24T23:26:08.740Z,28.0362,101.4146,10,4.7,mb,,27,6.922,1.05,us,us10007mkd,2017-03-23T22:52:01.040Z,"17km NE of Qiaowa, China",earthquake,7.5,1.9,0.075,54,reviewed,us,us
2016-10-25T14:29:24.740Z,32.5488,104.0662,31.2,4.7,mb,,171,5.163,0.56,us,us100072qd,2017-01-20T00:31:06.040Z,"45km ESE of Jin'an, China",earthquake,8.4,6.9,0.224,6,reviewed,us,us
2016-09-28T21:36:31.970Z,29.6438,101.9644,10,4.5,mb,,49,6.563,0.66,us,us10006tmm,2016-12-14T03:17:55.040Z,"45km S of Kangding, China",earthquake,8.4,1.9,0.082,43,reviewed,us,us
2016-09-26T15:48:53.920Z,30.1727,99.609,22.98,4.9,mb,,36,7.375,0.91,us,us10006ste,2016-12-14T03:17:51.040Z,"108km SW of Rulong, China",earthquake,8.1,5.1,0.065,73,reviewed,us,us
2016-09-22T17:23:15.960Z,30.1768,99.6502,21.01,5.3,mb,,18,7.411,0.89,us,us10006rpv,2016-12-12T23:01:37.040Z,"105km SW of Rulong, China",earthquake,7.3,4,0.039,224,reviewed,us,us
2016-09-22T16:50:33.440Z,30.1048,99.7368,23.45,4.7,mb,,97,7.484,0.65,us,us10006u52,2016-12-12T23:01:37.040Z,"107km SSW of Rulong, China",earthquake,12.4,5.9,0.089,38,reviewed,us,us
2016-09-22T16:47:16.160Z,30.1819,99.6908,21.99,5.2,mb,,19,7.446,0.65,us,us10006rpi,2016-12-12T23:01:37.040Z,"103km SW of Rulong, China",earthquake,7.4,4,0.046,154,reviewed,us,us
2016-09-03T21:38:58.200Z,27.2224,96.8182,43.69,4.5,mb,,46,3.746,0.67,us,us10006k6e,2016-12-03T02:54:39.040Z,"100km SE of Tezu, India",earthquake,7.6,7.2,0.068,64,reviewed,us,us
2016-08-12T11:25:23.300Z,27.09,103.6535,10,4.6,mb,,45,6.033,0.89,us,us10006edh,2016-11-15T02:21:46.040Z,"16km SE of Wenping, China",earthquake,8.8,1.9,0.075,52,reviewed,us,us
2016-08-12T06:56:56.310Z,27.1902,103.4697,10,4.7,mb,,52,6.118,0.63,us,us10006d7x,2016-11-15T02:21:46.040Z,"5km W of Wenping, China",earthquake,2.6,1.9,0.068,66,reviewed,us,us
2016-07-17T10:55:34.430Z,30.3812,98.3154,27,4.6,mb,,44,6.268,0.89,us,us20006fce,2016-09-17T01:27:48.040Z,"47km SSE of Agar, China",earthquake,8.3,5.1,0.074,54,reviewed,us,us
2016-06-27T10:13:05.700Z,31.8459,104.4375,10,4.8,mb,,41,4.612,1,us,us20006764,2016-08-31T03:08:19.040Z,"19km N of Yongchang, China",earthquake,8.5,1.9,0.056,98,reviewed,us,us
2016-05-20T17:55:06.670Z,31.5785,103.3752,25.68,4.6,mb,,146,5.415,0.69,us,us20005y4s,2016-08-03T22:33:39.040Z,"22km WNW of Weizhou, China",earthquake,12.3,5.8,0.125,19,reviewed,us,us
2016-05-17T17:05:17.500Z,26.0846,99.575,51.35,4.8,mb,,30,7.259,0.75,us,us10005i0l,2016-07-22T19:39:11.040Z,"25km NE of Shimen, China",earthquake,7.8,5.2,0.044,161,reviewed,us,us
2016-05-17T16:48:55.930Z,26.0476,99.492,53.99,4.9,mb,,54,7.217,0.8,us,us10005i09,2016-07-22T19:39:11.040Z,"18km NNE of Shimen, China",earthquake,9.1,5.6,0.051,120,reviewed,us,us
2016-03-23T17:55:41.190Z,29.6372,102.2029,10,4.5,mb,,77,6.358,1.04,us,us20005c2m,2016-06-09T21:41:57.040Z,"46km NNW of Xinmian, China",earthquake,8.9,1.9,0.081,45,reviewed,us,us
2016-03-21T03:35:51.790Z,29.6153,101.9619,10,4.8,mb,,53,6.569,0.86,us,us20005c89,2016-06-09T21:41:54.040Z,"48km S of Kangding, China",earthquake,7.3,1.8,0.101,30,reviewed,us,us
2016-03-17T17:19:53.950Z,29.654,102.0897,10,4.6,mb,,53,6.454,1.1,us,us20005aja,2016-05-21T00:05:35.040Z,"45km SSE of Kangding, China",earthquake,7.6,1.8,0.072,58,reviewed,us,us
2016-03-15T04:28:26.460Z,29.8667,98.0065,23.73,4.7,mb,,75,6.931,0.69,us,us10004xp3,2016-05-21T00:05:31.040Z,"22km NNE of Wangda, China",earthquake,11,5.4,0.067,68,reviewed,us,us
2016-03-11T11:07:22.630Z,28.0616,101.4009,35,4.7,mb,,55,7.412,0.98,us,us10004wqt,2016-05-21T00:05:25.040Z,"18km NE of Qiaowa, China",earthquake,8.5,2,0.061,83,reviewed,us,us
2016-03-09T22:05:53.620Z,30.4216,99.8575,10,4.6,mb,,42,7.6,0.47,us,us10004we7,2016-05-16T18:01:50.040Z,"72km SW of Rulong, China",earthquake,6,1.7,0.074,54,reviewed,us,us
2016-02-07T23:30:55.400Z,26.0834,99.5903,10,4.6,mb,,41,6.901,1.28,us,us20004ym9,2016-04-19T01:03:50.040Z,"26km NE of Shimen, China",earthquake,6.3,1.9,0.064,74,reviewed,us,us
2016-01-03T15:44:31.580Z,29.4466,104.1184,10,4.6,mb,,56,4.742,0.72,us,us10004b17,2016-03-28T22:09:34.040Z,"11km NE of Luocheng, China",earthquake,3.9,1.9,0.073,56,reviewed,us,us
2015-11-30T15:02:52.640Z,28.3819,104.9701,10,4.6,mb,,69,4.378,0.61,us,us1000432q,2016-02-25T22:33:02.040Z,"22km SSE of Changning, China",earthquake,9.3,1.8,0.091,36,reviewed,us,us
2015-10-28T20:12:09.500Z,27.55,100.3,10,4.7,mb,,,,0.75,us,us200040av,2016-11-10T21:57:33.664Z,"41km E of Xiaozhongdian, China",earthquake,8,4.4,0.08,47,reviewed,bji,us
2015-10-26T18:11:26.730Z,30.1517,98.0584,24.18,4.8,mb,,54,6.032,0.77,us,us10003rk9,2016-01-22T23:41:18.040Z,"54km NNE of Wangda, China",earthquake,8.3,4.7,0.059,89,reviewed,us,us
2015-10-24T11:29:47.850Z,29.2072,102.1703,58.11,4.7,mb,,54,6.457,0.6,us,us10003r62,2016-01-22T23:41:13.040Z,"19km W of Xinmian, China",earthquake,9.4,7,0.067,68,reviewed,us,us
2015-10-12T10:04:15.950Z,34.2965,98.2297,11.45,5.1,mb,,33,7.572,0.89,us,us10003myf,2016-11-10T21:55:50.902Z,"146km N of Qumong, China",earthquake,7.9,3.8,0.06,91,reviewed,us,us
2015-09-22T18:01:37.330Z,32.5158,105.3805,14.03,4.7,mb,,47,4.166,0.63,us,us20003n1p,2015-12-21T23:16:32.040Z,"12km SSE of Banqiao, China",earthquake,8.2,4.3,0.054,104,reviewed,us,us
2015-09-14T09:45:39.480Z,27.6703,100.2728,10,4.6,mb,,71,7.13,0.47,us,us20003p1e,2015-12-12T00:42:51.040Z,"41km ENE of Xiaozhongdian, China",earthquake,8,1.9,0.097,32,reviewed,us,us
2015-08-31T13:56:06.690Z,31.9101,104.4726,10,4.6,mb,,60,4.605,0.68,us,us20003itz,2015-12-01T00:36:06.040Z,"27km N of Yongchang, China",earthquake,9.1,1.9,0.085,41,reviewed,us,us
2015-07-19T13:52:42.200Z,35.4362,104.584,44.53,4.6,mb,,113,3.838,0.72,us,us10003088,2015-10-14T21:05:44.040Z,"39km W of Huajialing, China",earthquake,10.4,8.6,0.182,9,reviewed,us,us
2015-07-13T11:03:03.810Z,26.4644,96.5118,101.35,4.5,mb,,102,4.283,0.35,us,us20002x3y,2015-10-09T20:19:15.040Z,"112km ESE of Khonsa, India",earthquake,6.8,9.1,0.091,35,reviewed,us,us
2015-06-26T14:05:37.160Z,28.2013,106.0739,15.13,4.6,mb,,119,3.634,0.73,us,us20002wky,2015-09-02T22:37:20.040Z,"7km NNE of Taiping, China",earthquake,8.9,5.8,0.243,6,reviewed,us,us
2015-06-09T14:46:29.950Z,33.0669,98.9486,15.42,4.7,mb,,73,9.7,0.8,us,us10002k8u,2015-08-10T13:08:27.040Z,"80km E of Qumong, China",earthquake,9.5,3.9,0.115,23,reviewed,us,us
2015-06-05T10:30:49.450Z,30.8684,102.9311,17.72,4.5,mb,,64,5.69,0.91,us,us20002m9n,2015-08-10T13:08:20.040Z,"56km ESE of Meixing, China",earthquake,8.6,3.1,0.083,43,reviewed,us,us
2015-04-15T07:08:37.570Z,35.386,104.0004,13.1,4.5,mb,,38,4.274,0.59,us,us200026mm,2015-06-22T23:19:02.040Z,"35km N of Yangzhuang, China",earthquake,8.6,5,0.093,34,reviewed,us,us
2015-03-30T01:47:35.990Z,26.6884,108.8076,17.09,5.4,mb,,16,3.625,0.99,us,us10001rwf,2015-06-12T01:53:28.040Z,"29km NW of Qimeng, China",earthquake,6.7,3.3,0.038,230,reviewed,us,us
2015-02-06T21:01:07.800Z,28.3512,104.8941,10,5,mb,,34,3.747,0.76,us,usc000tmuq,2015-05-04T22:47:45.040Z,"20km ESE of Xunchang, China",earthquake,7.4,1.8,0.051,128,reviewed,us,us
2015-02-04T11:53:16.960Z,34.766,98.9802,14.87,4.7,mb,,39,8.348,0.66,us,usc000tlh2,2015-05-02T14:07:26.040Z,"114km WSW of Nimai, China",earthquake,8.7,4.4,0.077,60,reviewed,us,us
2015-01-28T14:43:42.420Z,28.4383,104.8748,10,4.6,mb,,85,4.428,0.73,us,usc000tljz,2015-04-24T16:56:16.040Z,"15km E of Xunchang, China",earthquake,5.6,1.9,0.137,20,reviewed,us,us
2015-01-19T08:15:28.790Z,31.7459,104.2804,40.43,4.5,mb,,117,4.709,0.37,us,usc000tk2h,2015-04-20T16:05:35.040Z,"17km WNW of Yongchang, China",earthquake,14.1,8.9,0.242,5,reviewed,us,us
